Date,Open,High,Low,Close,Volume
2003-04-14,7.149387,7.199283,7.149387,7.199283,93600
2003-04-15,7.243477,7.306204,7.243477,7.284820,421200
2003-04-16,7.363228,7.398867,7.363228,7.368930,9000
2003-04-17,7.409561,7.423816,7.396730,7.421678,17100
2003-04-21,7.430233,7.430945,7.413126,7.418828,72900
2003-04-22,7.418111,7.443773,7.395302,7.443773,19800
2003-04-23,7.448761,7.478699,7.423813,7.478699,31500
2003-04-24,7.420250,7.420250,7.313330,7.331151,90000
2003-04-25,7.228509,7.228509,7.199284,7.209976,102600
2003-04-28,7.228508,7.329012,7.227795,7.329012,91800
2003-04-29,7.442347,7.541427,7.442347,7.537862,76500
2003-04-30,7.520043,7.526457,7.497234,7.516479,228600
2003-05-01,7.495093,7.525030,7.484401,7.487252,234900
2003-05-02,7.511490,7.602015,7.511490,7.602015,67500
2003-05-05,7.630527,7.685413,7.630527,7.683988,47700
2003-05-06,7.683987,7.732457,7.676859,7.723191,109800
2003-05-07,7.691117,7.710363,7.684702,7.708937,313200
2003-05-08,7.662601,7.666878,7.634090,7.641218,417600
2003-05-09,7.651912,7.736735,7.651912,7.731032,63000
2003-05-12,7.765959,7.838665,7.762395,7.838665,752400
2003-05-13,7.810867,7.810867,7.773089,7.794472,276300
2003-05-14,7.794475,7.794475,7.740302,7.755271,206100
2003-05-15,7.770952,7.770952,7.751707,7.770952,337500
2003-05-16,7.790907,7.805163,7.755267,7.776651,256500
2003-05-19,7.726754,7.726754,7.562810,7.591322,128700
2003-05-20,7.609144,7.638369,7.587760,7.629103,53100
2003-05-21,7.615558,7.637655,7.575641,7.635516,45900
2003-05-22,7.637655,7.704659,7.637655,7.704659,84600
2003-05-23,7.758833,7.802314,7.758833,7.783781,74700
2003-05-27,7.802314,8.067477,7.802314,8.062487,864000
2003-05-28,8.062486,8.108818,8.062486,8.097413,396000
2003-05-29,8.090286,8.124500,8.076030,8.108107,306900
2003-05-30,8.125925,8.202194,8.109530,8.202194,368100
2003-06-02,8.225716,8.354020,8.225716,8.261356,587700
2003-06-03,8.268483,8.268483,8.130912,8.198628,244800
2003-06-04,8.197205,8.304838,8.197205,8.304125,241200
2003-06-05,8.334057,8.334057,8.258500,8.312674,509400
2003-06-06,8.357583,8.475195,8.356871,8.390372,608400
2003-06-09,8.401063,8.401063,8.292005,8.318378,208800
2003-06-10,8.321232,8.403917,8.321232,8.403917,233100
2003-06-11,8.400350,8.417458,8.339762,8.411042,294300
2003-06-12,8.425298,8.474482,8.418883,8.474482,402300
2003-06-13,8.454523,8.478758,8.448108,8.471630,694800
2003-06-16,8.496579,8.563583,8.485888,8.562870,163800
2003-06-17,8.650546,8.746062,8.650546,8.738934,352800
2003-06-18,8.715410,8.756039,8.687610,8.706856,171900
2003-06-19,8.778136,8.792392,8.696165,8.706856,225900
2003-06-20,8.731804,8.746060,8.681908,8.706856,300600
2003-06-23,8.678344,8.678344,8.490878,8.493016,332100
2003-06-24,8.457377,8.457377,8.382532,8.430290,188100
2003-06-25,8.451671,8.552175,8.451671,8.500141,1045800
2003-06-26,8.540771,8.596370,8.525803,8.592093,210600
2003-06-27,8.603499,8.607063,8.530794,8.552177,373500
2003-06-30,8.576412,8.576412,8.532219,8.546474,279900
2003-07-01,8.578552,8.646268,8.553604,8.639140,679500
2003-07-02,8.735369,8.848704,8.735369,8.842289,1129500
