Date,Open,High,Low,Close,Volume
2001-08-27,21.898703,21.898703,21.818761,21.856180,44700
2001-08-28,21.703095,21.728607,21.565324,21.606146,319800
2001-08-29,21.660576,21.669080,21.481983,21.507498,128400
2001-08-30,21.260871,21.260871,21.141810,21.201340,36900
2001-08-31,21.192837,21.286386,21.158821,21.252369,1656900
2001-09-04,20.801641,21.005746,20.767624,20.767624,570000
2001-09-05,20.699580,20.759112,20.580519,20.640051,31500
2001-09-06,20.325386,20.325386,20.172308,20.172308,284700
2001-09-07,20.138301,20.138301,19.985223,20.053257,99900
2001-09-10,19.611030,19.832143,19.491969,19.823637,1438200
2001-09-17,18.752096,19.032740,18.726584,18.956202,170400
2001-09-18,18.786102,18.922171,18.709564,18.803110,991500
2001-09-19,18.981702,18.981702,18.513963,18.752085,435600
2001-09-20,18.250335,18.250335,17.935675,17.935675,123000
2001-09-21,16.668527,17.604004,16.668527,17.433918,110100
2001-09-24,18.029221,18.275848,17.918667,18.241831,139500
2001-09-25,18.437429,18.590509,18.292855,18.454439,151500
2001-09-26,18.616019,18.616019,18.488454,18.547983,138600
2001-09-27,18.547986,18.845640,18.513969,18.840536,662400
2001-09-28,19.032728,19.247039,18.995309,19.207918,663900
2001-10-01,18.913665,19.104162,18.876246,19.104162,432900
2001-10-02,18.907593,19.171618,18.907593,19.171618,309900
2001-10-03,18.822426,19.450976,18.822426,19.367512,398700
2001-10-04,19.537849,19.674120,19.350477,19.573620,578400
2001-10-05,19.573625,19.691158,19.469717,19.604286,274200
2001-10-08,19.372620,19.631535,19.350477,19.486746,127800
2001-10-09,19.580438,19.648574,19.410099,19.435650,2442600
2001-10-10,19.674124,19.861498,19.674124,19.827429,84600
2001-10-11,20.040351,20.089748,19.844460,19.963697,197400
2001-10-12,19.725226,19.938150,19.725226,19.938150,83400
2001-10-15,19.674123,19.759293,19.614503,19.623022,192600
2001-10-16,19.810389,19.895559,19.725219,19.895559,361800
2001-10-17,20.270304,20.270304,19.912592,19.912592,224700
2001-10-18,19.810390,19.861493,19.588949,19.750772,260700
