Date,Open,High,Low,Close,Volume
2004-06-11,384.000000,384.800000,382.800000,384.100000,272
2004-06-14,384.300000,385.800000,381.800000,382.800000,1902
2004-06-15,382.800000,388.800000,381.100000,388.600000,1951
2004-06-16,387.100000,389.800000,382.600000,383.800000,2014
2004-06-17,383.600000,389.300000,383.000000,387.600000,1568
2004-06-18,388.600000,395.800000,385.800000,394.300000,2257
2004-06-21,394.300000,396.800000,392.100000,393.100000,1674
2004-06-22,392.800000,396.300000,392.300000,394.100000,1407
2004-06-23,394.000000,396.600000,392.300000,395.600000,1829
2004-06-24,394.000000,402.800000,393.100000,401.100000,1991
2004-06-25,402.000000,402.800000,400.100000,401.100000,1608
2004-06-28,401.800000,404.600000,398.800000,399.800000,2124
2004-06-29,399.800000,400.500000,390.300000,391.300000,2175
2004-06-30,391.500000,396.300000,391.100000,393.300000,2131
2004-07-01,391.600000,395.800000,391.500000,395.000000,1736
2004-07-02,395.100000,399.800000,391.300000,397.800000,1516
2004-07-06,397.800000,398.800000,388.500000,392.100000,1008
2004-07-07,394.100000,403.100000,394.100000,401.800000,792
2004-07-08,401.800000,408.600000,399.300000,407.300000,914
2004-07-09,407.300000,407.800000,405.000000,407.100000,793
2004-07-12,407.300000,408.300000,405.000000,406.600000,866
2004-07-13,407.100000,407.300000,399.600000,403.100000,1589
2004-07-14,400.800000,405.800000,400.800000,404.800000,990
2004-07-15,404.300000,405.100000,400.800000,403.100000,1900
2004-07-16,403.100000,407.100000,401.800000,406.100000,882
2004-07-19,405.500000,407.500000,403.800000,404.800000,858
2004-07-20,405.000000,406.300000,398.600000,400.800000,1707
2004-07-21,399.300000,401.600000,393.800000,396.100000,1908
2004-07-22,396.000000,397.800000,392.800000,393.300000,1907
2004-07-23,394.300000,395.000000,386.500000,389.300000,1899
2004-07-26,389.300000,392.100000,388.100000,389.800000,1992
2004-07-27,390.500000,393.100000,385.100000,386.600000,3054
2004-07-28,386.100000,389.600000,384.500000,387.300000,3205
2004-07-29,387.300000,390.800000,385.300000,387.100000,2521
2004-07-30,387.100000,391.800000,386.300000,390.500000,2803
2004-08-02,390.300000,393.800000,390.300000,391.100000,1926
2004-08-03,391.300000,394.300000,388.100000,393.100000,3214
2004-08-04,393.800000,393.800000,389.600000,391.800000,3037
2004-08-05,391.300000,393.000000,389.800000,391.800000,1900
2004-08-06,391.800000,400.300000,390.800000,398.800000,1878
2004-08-09,399.100000,400.300000,397.100000,399.800000,1449
2004-08-10,399.600000,400.600000,397.300000,399.100000,1442
2004-08-11,398.100000,399.100000,392.300000,394.600000,1523
2004-08-12,395.100000,397.300000,392.800000,393.300000,1730
2004-08-13,393.500000,399.100000,391.800000,398.100000,2692
2004-08-16,398.300000,403.100000,397.600000,401.300000,1423
2004-08-17,402.100000,404.800000,399.600000,404.800000,1031
2004-08-18,403.800000,404.800000,401.100000,403.800000,641
2004-08-19,403.800000,407.500000,403.100000,406.100000,1445
2004-08-20,406.100000,413.800000,404.600000,412.200000,1898
2004-08-23,411.800000,411.800000,407.800000,409.300000,1919
2004-08-24,409.600000,409.600000,401.600000,401.600000,1996
2004-08-25,401.800000,407.600000,401.600000,406.800000,3058
2004-08-26,406.300000,408.800000,404.100000,406.300000,1680
2004-08-27,406.500000,408.500000,400.800000,402.300000,2561
2004-08-30,402.300000,408.600000,402.100000,408.100000,940
2004-08-31,406.800000,410.800000,406.300000,409.300000,1100
2004-09-01,409.600000,409.800000,405.800000,407.800000,1866
2004-09-02,407.800000,408.300000,404.800000,405.600000,1236
2004-09-03,405.100000,406.300000,398.600000,399.800000,1547
2004-09-07,400.600000,401.600000,396.300000,397.800000,1421
2004-09-08,397.800000,399.800000,394.300000,399.100000,2418
2004-09-09,398.300000,400.300000,396.600000,397.600000,2887
2004-09-10,397.800000,402.300000,397.500000,402.300000,2744
2004-09-13,401.100000,404.300000,398.100000,403.300000,2562
2004-09-14,403.300000,406.600000,401.600000,405.600000,1495
2004-09-15,405.300000,405.500000,402.100000,404.600000,2017
2004-09-16,403.300000,405.300000,401.600000,403.800000,2710
2004-09-17,403.800000,406.600000,402.500000,405.000000,2792
2004-09-20,404.800000,405.300000,402.800000,404.300000,1873
2004-09-21,404.500000,409.700000,403.500000,409.300000,1498
2004-09-22,408.300000,409.300000,403.500000,406.300000,2461
2004-09-23,406.300000,411.600000,405.600000,410.100000,2355
2004-09-24,410.100000,411.000000,405.800000,407.100000,1891
2004-09-27,407.300000,409.600000,406.600000,408.800000,988
2004-09-28,408.300000,412.600000,408.000000,411.600000,2444
2004-09-29,411.700000,413.700000,410.200000,412.100000,3798
2004-09-30,412.200000,418.600000,410.500000,417.800000,4044
2004-10-01,417.800000,419.300000,416.300000,419.000000,1356
2004-10-04,418.300000,418.800000,411.300000,418.800000,936
2004-10-05,413.600000,419.300000,412.300000,418.300000,869
2004-10-06,418.600000,419.800000,415.600000,417.300000,1059
2004-10-07,418.100000,419.700000,416.700000,417.100000,3365
2004-10-08,417.300000,423.300000,416.800000,422.300000,713
2004-10-11,422.500000,422.600000,420.600000,421.600000,748
2004-10-12,421.300000,422.100000,412.600000,414.800000,909
2004-10-13,414.800000,416.100000,409.100000,415.300000,1355
2004-10-14,415.100000,418.500000,413.800000,417.300000,1467
2004-10-15,417.300000,420.800000,417.200000,418.300000,1030
2004-10-18,418.100000,419.800000,415.300000,415.300000,1128
2004-10-19,415.300000,420.200000,414.300000,419.300000,1286
2004-10-20,419.300000,425.500000,419.300000,423.100000,1002
2004-10-21,423.100000,425.800000,421.500000,423.300000,1274
2004-10-22,423.800000,424.700000,421.500000,423.700000,1034
2004-10-25,426.000000,430.200000,426.000000,427.800000,1206
2004-10-26,428.300000,428.600000,424.300000,426.300000,1015
2004-10-27,426.100000,428.300000,422.800000,423.800000,1267
2004-10-28,423.300000,426.800000,420.300000,423.800000,1450
2004-10-29,424.300000,428.300000,423.300000,428.100000,1388
2004-11-01,429.600000,430.100000,425.700000,426.800000,1246
2004-11-02,426.600000,427.000000,416.800000,421.100000,1255
2004-11-03,420.700000,426.800000,418.800000,426.300000,1257
2004-11-04,426.600000,432.600000,425.300000,429.100000,1230
2004-11-05,429.100000,433.600000,424.500000,433.100000,1493
2004-11-08,433.600000,434.800000,430.700000,431.600000,1067
2004-11-09,432.100000,436.200000,430.800000,434.800000,1311
2004-11-10,434.300000,437.600000,432.000000,433.300000,1338
2004-11-11,432.300000,435.100000,431.600000,434.100000,869
2004-11-12,433.800000,438.500000,433.800000,437.300000,1318
2004-11-15,438.300000,439.800000,435.200000,436.000000,1315
2004-11-16,435.800000,440.300000,434.800000,439.300000,2127
