Date,Open,High,Low,Close,Volume
2000-05-26,32.456982,32.590641,32.301045,32.590641,74800
2000-05-30,33.058437,33.793564,33.058437,33.793564,57600
2000-05-31,33.904950,34.350481,33.904950,33.916088,36000
2000-06-01,34.612252,34.684650,34.612252,34.684650,7000
2000-06-02,36.255140,36.489044,36.255140,36.489044,29400
2000-06-05,36.399934,36.756359,36.310828,36.355381,48400
2000-06-06,36.928996,37.357820,36.600417,36.711800,151800
2000-06-07,36.489029,36.756348,36.154880,36.756348,131000
2000-06-08,37.157344,37.157344,36.667259,36.667259,91400
2000-06-09,37.023679,37.313274,37.001402,37.313274,41600
2000-06-12,37.424672,37.424672,36.177183,36.205029,85200
2000-06-13,36.115914,36.667259,35.776196,36.667259,168200
2000-06-14,36.967991,36.967991,36.489044,36.489044,43200
2000-06-15,36.266288,36.533607,35.915432,36.533607,26800
2000-06-16,36.689548,36.711824,36.333122,36.333122,30200
2000-06-19,36.533598,37.246449,36.366523,37.246449,59200
2000-06-20,37.302138,37.547181,37.157341,37.491489,47000
2000-06-21,37.178543,37.758064,37.178543,37.691196,66800
2000-06-22,37.802652,37.802652,36.554451,36.554451,139600
2000-06-23,36.911084,36.911084,36.019512,36.309273,235800
2000-06-26,36.454149,36.755054,36.286979,36.755054,93600
2000-06-27,36.810763,37.133958,36.175518,36.175518,112800
2000-06-28,36.331543,37.223114,36.331543,37.089378,170600
2000-06-29,36.911076,36.977944,36.398422,36.509869,212200
2000-06-30,36.532168,36.860935,36.231262,36.860935,1171800
2000-07-03,36.777328,37.379139,36.732750,37.379139,15800
2000-07-05,37.167402,37.178547,36.827491,36.955654,138800
2000-07-06,36.966808,37.390305,36.621324,37.390305,154600
2000-07-07,37.395863,37.769209,37.395863,37.624329,71800
2000-07-10,37.602028,38.003235,37.602028,37.869499,44800
2000-07-11,37.802647,38.014395,37.691200,37.824936,253200
2000-07-12,38.025531,38.582764,37.980953,38.582764,45200
2000-07-13,38.616203,38.705360,38.515901,38.705360,102600
2000-07-14,38.905966,38.905966,38.426746,38.738796,54800
2000-07-17,38.772230,38.939400,38.671928,38.872532,46600
2000-07-18,38.616209,38.616209,38.203857,38.203857,235400
2000-07-19,38.081236,38.081236,37.535149,37.535149,35400
2000-07-20,37.891807,38.159279,37.891807,38.159279,150400
2000-07-21,37.936375,37.936375,37.111671,37.111671,150600
2000-07-24,37.312290,37.312290,36.493158,36.571171,37000
2000-07-25,36.860933,36.860933,36.420719,36.643612,36800
2000-07-26,36.376125,36.576729,35.997207,36.576729,15800
2000-07-27,36.504293,36.504293,35.573715,35.573715,275000
2000-07-28,35.779907,35.779907,34.860474,34.949631,171600
2000-07-31,35.127925,35.841183,34.726718,35.841183,166400
2000-08-01,35.573713,35.707449,35.406544,35.607147,263400
2000-08-02,35.395405,35.863480,35.306247,35.662876,388600
2000-08-03,34.971900,35.707447,34.971900,35.640579,1084200
2000-08-04,36.064072,36.075216,35.607141,35.818890,570400
2000-08-07,35.952632,36.482002,35.952632,36.482002,88200
2000-08-08,36.376141,36.487587,36.309273,36.309273,49600
2000-08-09,36.576726,36.576726,36.047356,36.047356,23000
2000-08-10,36.052931,36.086365,35.729736,35.841183,43000
2000-08-11,35.484565,36.465294,35.484565,36.465294,176000
2000-08-14,36.353836,36.844200,36.331546,36.844200,56800
2000-08-15,36.766203,36.821927,36.309273,36.309273,189200
2000-08-16,36.465279,36.755039,36.331543,36.487568,219400
2000-08-17,36.621322,36.977951,36.532165,36.821926,358800
2000-08-18,36.955668,37.044825,36.688196,36.766209,52200
2000-08-21,37.000231,37.033665,36.665891,36.899929,129200
2000-08-22,36.922213,37.156250,36.844200,36.844200,195600
2000-08-23,36.799616,36.911062,36.643591,36.788471,153000
2000-08-24,36.989084,37.535172,36.989084,37.334568,276200
2000-08-25,37.356857,37.579750,37.245411,37.490593,208600
2000-08-28,37.668907,37.891800,37.490593,37.557461,156000
2000-08-29,37.646614,37.914085,37.535167,37.914085,140200
2000-08-30,37.880644,38.092392,37.746908,37.958656,619000
2000-08-31,38.092396,38.627339,38.092396,38.337578,151200
2000-09-01,38.515888,38.716492,38.332002,38.649624,186800
2000-09-05,38.599473,38.716492,38.382153,38.382153,110400
2000-09-06,38.560484,38.560484,38.159277,38.215000,217800
2000-09-07,38.382156,38.805653,38.382156,38.783363,213800
2000-09-08,38.588325,38.671910,38.114677,38.114677,128600
2000-09-11,38.309732,38.454612,38.025543,38.159279,314600
2000-09-12,38.382166,38.382166,37.980959,38.036682,93000
2000-09-13,37.869510,38.293007,37.869510,38.226139,81200
2000-09-14,38.393312,38.593916,38.220570,38.449036,114000
2000-09-15,38.248433,38.293011,37.668911,37.735779,67000
2000-09-18,37.902942,37.902942,36.738326,36.844200,201400
2000-09-19,37.078245,37.602043,36.827490,37.446018,54800
2000-09-20,37.439207,37.439207,36.947174,37.148460,40400
2000-09-21,37.215561,37.215561,36.455147,36.455147,207400
2000-09-22,35.784195,36.924816,35.784195,36.924816,127600
2000-09-25,37.344163,37.344163,36.947182,36.969547,113800
2000-09-26,36.947181,36.947181,36.253862,36.443966,65200
2000-09-27,36.611699,36.790620,36.142032,36.276222,43600
2000-09-28,36.365691,37.327391,36.343326,37.260296,121000
2000-09-29,37.226760,37.355359,37.081387,37.081387,130400
2000-10-02,37.360946,37.360946,36.477524,36.477524,169600
2000-10-03,36.919221,36.919221,35.946339,35.946339,151000
2000-10-04,36.108511,36.197971,35.650026,36.197971,99800
2000-10-05,36.231518,36.365708,35.806580,35.828945,408800
2000-10-06,35.896004,35.896004,34.911939,34.956669,185600
2000-10-09,34.979053,34.979053,34.576481,34.878410,361800
2000-10-10,34.923141,35.107653,34.039719,34.039719,420400
2000-10-11,34.151542,34.218637,33.637144,33.927891,168200
2000-10-12,34.241017,34.241017,32.899109,32.899109,161400
2000-10-13,32.988564,34.453480,32.966199,34.173916,378800
2000-10-16,34.352835,34.733042,34.151548,34.442295,1098000
2000-10-17,34.442290,34.537342,33.329625,33.575642,265800
2000-10-18,32.792863,33.502956,32.653081,33.301670,343600
2000-10-19,33.838416,34.419909,33.838416,34.330448,150600
2000-10-20,34.598840,35.090873,34.582066,34.766579,264800
2000-10-23,34.956676,35.157962,34.828076,35.113232,143200
2000-10-24,35.225074,35.448725,34.598850,34.598850,73800
2000-10-25,34.531745,34.710666,33.827244,33.827244,33000
2000-10-26,34.145952,34.352829,33.525319,34.352829,105800
2000-10-27,34.084463,34.531766,34.084463,34.375210,138800
2000-10-30,34.308110,34.733047,34.017363,34.531761,73600
