Date,Open,High,Low,Close,Volume
1993-01-29,24.070639,24.070639,23.950885,24.053532,1003200
1993-02-01,24.070632,24.224602,24.070632,24.224602,480500
1993-02-02,24.207499,24.293038,24.156176,24.275930,201300
1993-02-03,24.310146,24.549655,24.293038,24.532547,529400
1993-02-04,24.618083,24.686514,24.344359,24.635191,531500
1993-02-05,24.618095,24.669419,24.481233,24.618095,492100
1993-02-08,24.618095,24.703634,24.583880,24.618095,596100
1993-02-09,24.532553,24.532553,24.395691,24.447014,122100
1993-02-10,24.447018,24.498341,24.378587,24.481234,379600
1993-02-11,24.515444,24.703629,24.515444,24.600983,19500
1993-02-12,24.566770,24.566770,24.412800,24.412800,42500
1993-02-16,24.344360,24.344360,23.762696,23.796911,374800
1993-02-17,23.796912,23.831128,23.694265,23.779804,210900
1993-02-18,24.053531,24.053531,23.437651,23.762699,378100
1993-02-19,23.762692,23.848230,23.728476,23.848230,34900
1993-02-22,23.916675,23.967998,23.848244,23.933783,513600
1993-02-23,24.002220,24.019328,23.796927,23.916681,373700
1993-02-24,23.933770,24.224602,23.933770,24.224602,26300
1993-02-25,24.207499,24.293038,24.156176,24.275930,44500
1993-02-26,24.327250,24.327250,24.190388,24.310143,66200
1993-03-01,24.395694,24.395694,24.207508,24.241724,66500
1993-03-02,24.258827,24.600983,24.224612,24.600983,182400
1993-03-03,24.635203,24.720742,24.600988,24.703634,280100
1993-03-04,24.737852,24.737852,24.566774,24.566774,89500
1993-03-05,24.600962,24.703609,24.481208,24.498316,40000
1993-03-08,24.549662,25.045788,24.549662,25.045788,50800
1993-03-09,24.994459,25.011567,24.908920,24.960243,169300
1993-03-10,24.960241,25.011564,24.857594,25.011564,194400
1993-03-11,25.028673,25.097104,24.908919,24.943134,70900
1993-03-12,24.737841,24.754949,24.532548,24.686518,643600
1993-03-15,24.669427,24.806290,24.669427,24.806290,310800
1993-03-16,24.806290,24.874721,24.806290,24.806290,30800
1993-03-17,24.772060,24.772060,24.618090,24.652306,21800
1993-03-18,24.754966,24.908936,24.754966,24.806290,59300
1993-03-19,24.906246,24.906246,24.768738,24.768738,66900
1993-03-22,24.528092,24.682789,24.510904,24.631224,183400
1993-03-23,24.699979,24.717168,24.648414,24.682791,55200
1993-03-24,24.648414,24.785922,24.528094,24.682791,37200
1993-03-25,24.699985,24.889060,24.665608,24.837494,110100
1993-03-26,24.820288,24.837477,24.682780,24.699968,101500
1993-03-29,24.717162,24.923424,24.717162,24.803104,87100
1993-03-30,24.837489,24.871866,24.803112,24.871866,56000
1993-03-31,24.940618,25.009372,24.854675,24.854675,111600
1993-04-01,24.889058,24.889058,24.717172,24.768738,129500
1993-04-02,24.562475,24.562475,24.253080,24.253080,59400
1993-04-05,24.442156,24.442156,24.304647,24.373402,172200
1993-04-06,24.424962,24.424962,24.235887,24.304642,129700
1993-04-07,24.339012,24.390577,24.287446,24.390577,28000
1993-04-08,24.493721,24.493721,24.253081,24.356213,180800
1993-04-12,24.596837,24.717157,24.562460,24.699968,348500
1993-04-13,24.682793,24.837490,24.665604,24.751547,146100
1993-04-14,24.768738,24.785927,24.699984,24.717173,119600
1993-04-15,24.699984,24.768738,24.614041,24.717173,148600
1993-04-16,24.734361,24.768738,24.682795,24.717173,47900
1993-04-19,24.717151,24.785905,24.596831,24.614019,157000
1993-04-20,24.579650,24.614028,24.339011,24.493708,279500
1993-04-21,24.545277,24.545277,24.407768,24.476522,67900
1993-04-22,24.373398,24.579661,24.167135,24.167135,97700
1993-04-23,24.115569,24.184323,24.029626,24.064003,106000
1993-04-26,24.081183,24.167126,23.806166,23.874920,62600
1993-04-27,23.840553,24.132759,23.840553,24.132759,156800
1993-04-28,24.098367,24.149933,24.046802,24.081179,85900
1993-04-29,24.132757,24.184322,23.995248,24.184322,85000
1993-04-30,24.270272,24.356215,24.218706,24.218706,88500
1993-05-03,24.253082,24.373402,24.149950,24.373402,80500
1993-05-04,24.424975,24.545295,24.390598,24.459352,149100
1993-05-05,24.459345,24.614042,24.459345,24.528099,109000
1993-05-06,24.493729,24.510918,24.424975,24.442163,54700
1993-05-07,24.459332,24.459332,24.356200,24.390577,68000
1993-05-10,24.424975,24.579672,24.424975,24.442163,113900
1993-05-11,24.442162,24.545294,24.373408,24.545294,42600
1993-05-12,24.442146,24.528089,24.442146,24.510900,31000
1993-05-13,24.407780,24.407780,24.201518,24.218706,129100
1993-05-14,24.218698,24.287452,24.184321,24.201509,63500
1993-05-17,24.270266,24.287455,24.167135,24.287455,34000
1993-05-18,24.304645,24.321833,24.184325,24.270267,105200
1993-05-19,24.270269,24.768738,24.115572,24.768738,50200
1993-05-20,24.768740,24.837494,24.717174,24.837494,98200
1993-05-21,24.854659,24.889036,24.596831,24.614019,221400
1993-05-24,24.665607,24.803116,24.665607,24.717173,30500
1993-05-25,24.820304,24.820304,24.768738,24.768738,191800
1993-05-26,24.837489,25.095317,24.820300,25.078129,102400
1993-05-27,25.112502,25.112502,24.957805,24.992182,53800
1993-05-28,24.974998,24.974998,24.751546,24.871866,79100
1993-06-01,24.957795,25.198434,24.923417,25.112492,28300
1993-06-02,25.043752,25.164072,24.940620,25.078129,20300
1993-06-03,25.026559,25.026559,24.940616,24.992182,21600
1993-06-04,24.923448,24.923448,24.803128,24.906260,32000
1993-06-07,24.957821,24.957821,24.820312,24.820312,121400
1993-06-08,24.751552,24.751552,24.596855,24.596855,104500
1993-06-09,24.682791,24.785922,24.648414,24.682791,43300
1993-06-10,24.665591,24.717157,24.614026,24.699968,17900
1993-06-11,24.785916,24.837482,24.699973,24.803104,647400
1993-06-14,24.837492,24.854681,24.768738,24.768738,64200
1993-06-15,24.803116,24.820304,24.717173,24.717173,142400
1993-06-16,24.717172,24.768738,24.648418,24.768738,330900
1993-06-17,24.820298,24.854675,24.768732,24.854675,37400
1993-06-18,24.840406,24.840406,24.649992,24.649992,58500
1993-06-21,24.719236,24.719236,24.667304,24.701925,29300
1993-06-22,24.736547,24.736547,24.684616,24.719236,137500
1993-06-23,24.719246,24.719246,24.494211,24.494211,227600
1993-06-24,24.563441,24.823097,24.563441,24.823097,243700
1993-06-25,24.805798,24.875039,24.788487,24.805798,44800
1993-06-28,24.926970,25.082764,24.892349,25.082764,439900
1993-06-29,25.048126,25.048126,24.926954,24.961575,207500
1993-06-30,24.996195,25.048126,24.926954,24.961575,437600
1993-07-01,24.996198,24.996198,24.857715,24.892336,605700
1993-07-02,24.805786,24.823096,24.667303,24.753855,285400
1993-07-06,24.719246,24.788488,24.459590,24.494211,246400
1993-07-07,24.476894,24.598067,24.476894,24.563446,343700
1993-07-08,24.580749,24.892336,24.546128,24.840405,248200
1993-07-09,24.840409,24.909651,24.788478,24.909651,378200
1993-07-12,24.875026,24.909646,24.840405,24.892336,373700
1993-07-13,24.909638,24.978879,24.736534,24.875017,389600
1993-07-14,24.892333,25.030816,24.875023,24.961575,617300
1993-07-15,24.944281,24.944281,24.805798,24.857729,443800
1993-07-16,24.875014,24.892324,24.753841,24.788462,216400
1993-07-19,24.788478,24.788478,24.701926,24.771168,188200
1993-07-20,24.753853,24.840405,24.632680,24.840405,68500
1993-07-21,24.805787,24.823097,24.736545,24.823097,142700
1993-07-22,24.788475,24.823096,24.649992,24.649992,632400
1993-07-23,24.701926,24.771168,24.684616,24.771168,286200
1993-07-26,24.840409,24.961582,24.840409,24.909651,121300
1993-07-27,24.926957,24.944267,24.805784,24.892336,92800
1993-07-28,24.840405,24.892336,24.805784,24.840405,30800
1993-07-29,24.892351,25.048144,24.857730,24.978903,331000
1993-07-30,24.978888,24.978888,24.805784,24.840405,75300
1993-08-02,24.875030,24.996203,24.875030,24.909651,41300
1993-08-03,24.961575,25.030817,24.840402,24.926954,81600
1993-08-04,24.926954,24.978885,24.857713,24.926954,434000
1993-08-05,24.926948,24.926948,24.840396,24.875017,36800
1993-08-06,24.944272,24.961582,24.875030,24.909651,402300
1993-08-09,24.978900,25.117383,24.926969,25.048141,828200
1993-08-10,25.030828,25.048139,24.996208,25.030828,604900
1993-08-11,25.013518,25.100070,25.013518,25.030828,542200
1993-08-12,25.100058,25.100058,24.875023,24.961575,303700
1993-08-13,24.978890,25.013511,24.978890,24.996201,103500
1993-08-16,25.013515,25.203929,25.013515,25.134687,241800
1993-08-17,25.117371,25.221233,25.117371,25.221233,369300
1993-08-18,25.307799,25.411661,25.290488,25.359730,414300
1993-08-19,25.377040,25.377040,25.325109,25.359730,28500
