symbol,date,strategy,side,entry_time,entry,stop,target,exit_time,exit,outcome,pnl_pct,risk_pct,r_multiple
SPY,2026-06-08,orb,1,10:55:00,744.51001,742.994995,747.5400399999999,11:30:00,742.994995,stop,-0.0026349155547283447,0.0020349155547283353,-1.2948525301729832
SPY,2026-06-10,orb,1,09:45:00,736.25,733.875,741.0,10:55:00,733.875,stop,-0.003825806451612856,0.0032258064516129032,-1.1859999999999853
QQQ,2026-06-08,orb,1,10:35:00,719.210022,716.9450075,723.740051,13:10:00,716.9450075,stop,-0.0037493088676676216,0.0031493088676675957,-1.1905179914742343
QQQ,2026-06-10,orb,1,09:45:00,707.429993,703.524994,715.2399909999999,10:55:00,703.524994,stop,-0.006119979416535703,0.0055199794165356735,-1.1086960574893934
DIA,2026-06-02,orb,1,11:15:00,513.22998,511.0949855,517.4999689999999,15:55:00,514.059998,eod,0.001017243793903045,0.00415991774291897,0.24453459341464184
DIA,2026-06-04,orb,1,09:45:00,514.140015,513.410004,515.6000369999999,09:55:00,515.6000369999999,target,0.0022397361757575014,0.0014198680878787279,1.5774255333139082
DIA,2026-06-12,orb,1,10:50:00,513.419983,511.5599975,517.139954,10:50:00,511.5599975,stop,-0.004222736865697695,0.0036227368656977137,-1.1656206404834832
GLD,2026-06-10,orb,1,09:45:00,383.601288,381.84684749999997,387.1101690000001,10:25:00,381.84684749999997,stop,-0.005173604299264122,0.004573604299264094,-1.1311875625306216
GLD,2026-06-15,orb,1,10:05:00,400.929993,400.035004,402.71997100000004,10:05:00,400.035004,stop,-0.002832282482293679,0.0022322824822936346,-1.2687831870559474
GLD,2026-06-24,orb,1,09:45:00,368.736786,366.6733855,372.863587,12:05:00,366.6733855,stop,-0.006195862898257198,0.0055958628982571874,-1.1072220693946733
SLV,2026-06-10,orb,1,09:45:00,59.310001,58.7350005,60.460002,10:45:00,58.7350005,stop,-0.010294832073936399,0.009694832073936427,-1.0618886428794378
SLV,2026-06-24,orb,1,09:45:00,53.369999,53.141699,53.826598999999995,09:50:00,53.826598999999995,target,0.007955368344676184,0.004277684172338045,1.8597371905387852
TLT,2026-06-24,orb,1,09:50:00,87.209999,87.16500099999999,87.29999500000001,10:00:00,87.29999500000001,target,0.00043194588959931726,0.0005159729447996755,0.8371483310370441
