component,kind,avg_week,median_week,pct_pos_weeks,best_week,worst_week,n_weeks,cagr,max_dd
intraday:ORB (only 6 wks!),intraday,0.01601600462649357,0.011352802878398183,0.5,0.10351275266273863,-0.05277774485861042,6,,
buy&hold:BTC,baseline,0.012155716904468759,0.006616268418433657,0.5429497568881686,0.5096578757677237,-0.39011465733268924,617,0.3331394953195197,-0.8339900882122678
swing:ma_cross:BTC,swing,0.010274730746583539,0.0,0.3657505285412262,0.5096578757677237,-0.24978831076799557,473,0.3084349298170992,-0.6716274504656801
buy&hold:TQQQ,baseline,0.010108349512775543,0.01267678421258589,0.5794392523364486,0.28905933098320324,-0.3752640656203067,856,0.4321279550083854,-0.8165984465512063
swing:donchian_breakout:BTC,swing,0.009585600048295555,0.0,0.2558139534883721,0.5096578757677237,-0.17084791730508153,473,0.3145625640225431,-0.49521695970655566
buy&hold:TSLA,baseline,0.0095183982034764,0.005524006503007439,0.5406698564593302,0.4071491835793599,-0.2586126721266667,836,0.4116709175500537,-0.7363221754364415
buy&hold:NVDA,baseline,0.009333015499068323,0.005879263560237158,0.537334263782275,1.0042557737851454,-0.3884592504461629,1433,0.3665237114928117,-0.8972235877174868
swing:tsmom:BTC,swing,0.008948209377891576,0.0,0.32346723044397463,0.5096578757677237,-0.23162488853983176,473,0.26535074874678566,-0.6740387268380985
buy&hold:UPRO,baseline,0.007795936424731709,0.010444597141118228,0.578177727784027,0.3843955077220105,-0.43876139968379113,889,0.32846611350913646,-0.768168262483956
swing:macd_momentum:BTC,swing,0.007711391026816161,0.0,0.3488372093023256,0.5096578757677237,-0.16933765246969212,473,0.21364815542935855,-0.5972475486596165
swing:high_52w:BTC,swing,0.006256987965516784,0.0,0.15644820295983086,0.5096578757677237,-0.18245277850306507,473,0.20774550150436988,-0.5141201561143187
swing:macd_momentum:TQQQ,swing,0.0057470020390959515,0.0,0.40649149922720246,0.28877879512819615,-0.1684981807835514,647,0.2558967052401404,-0.7192382121220531
swing:tsmom:NVDA,swing,0.005710641135998221,0.0,0.3982011447260834,0.3440201758796042,-0.2146206062504371,1223,0.2617779033486438,-0.6024089015403324
swing:ma_cross:TSLA,swing,0.005557071758540714,0.0,0.34768740031897927,0.33338327587143235,-0.2586126721266667,627,0.2270526936362971,-0.6978158726233719
swing:donchian_breakout:NVDA,swing,0.005388435658181375,0.0,0.3286999182338512,0.3427083320066746,-0.1877398797275993,1223,0.2560026807005007,-0.6916394825021518
swing:ma_cross:TQQQ,swing,0.0053002891531340355,0.0,0.4265842349304482,0.210552123804167,-0.2072042410468362,647,0.22216242869926028,-0.5777708971441238
swing:high_52w:TSLA,swing,0.004984561237150948,0.0,0.13556618819776714,0.2779855878077473,-0.16333785050300376,627,0.3148549046976108,-0.2601047598970917
rotation:aggressive 63/top2,rotation,0.0049761017752548145,0.0019820752881916093,0.5247747747747747,0.19987171069349352,-0.25321430573017134,444,0.21029300201385337,-0.5433216808755912
swing:ma_cross:NVDA,swing,0.004754846303490146,0.0,0.4219133278822568,0.3440201758796042,-0.22906549720746816,1223,0.19183073967673048,-0.6499209478779336
