instrument,date,strategy,action,position,close,atr14,suggested_stop,rsi2,trend_200d,oos_sharpe,params
GOLD,2025-06-06,tsmom,HOLD LONG,LONG,3368.94,66.44,3236.06,65.5,UP,0.42,"{""lookback"": 120, ""trend_n"": 0, ""allow_short"": false}"
NVDA,2026-04-13,donchian_breakout,HOLD LONG,LONG,188.34,5.28,177.77,91.8,UP,0.831,"{""entry_n"": 10, ""exit_n"": 5, ""allow_short"": false}"
GOLD,2026-07-03,tsmom,STAY FLAT,FLAT,4187.3,93.36,,95.6,DOWN,0.596,"{""lookback"": 60, ""trend_n"": 0, ""allow_short"": false}"
NVDA,2026-07-02,donchian_breakout,STAY FLAT,FLAT,194.83,7.12,,26.6,UP,0.83,"{""entry_n"": 10, ""exit_n"": 5, ""allow_short"": false}"
TSLA,2026-07-02,ma_cross,STAY FLAT,FLAT,393.45,19.62,,21.6,DOWN,0.702,"{""fast"": 10, ""slow"": 20, ""use_ema"": false, ""allow_short"": false}"
GOLD,2026-07-06,tsmom,STAY FLAT,FLAT,4178.1,91.3,,95.3,DOWN,0.596,"{""lookback"": 60, ""trend_n"": 0, ""allow_short"": false}"
NVDA,2026-07-06,donchian_breakout,STAY FLAT,FLAT,195.55,6.87,,40.8,UP,0.83,"{""entry_n"": 10, ""exit_n"": 5, ""allow_short"": false}"
TSLA,2026-07-06,ma_cross,STAY FLAT,FLAT,419.77,20.32,,65.7,UP,0.702,"{""fast"": 10, ""slow"": 20, ""use_ema"": false, ""allow_short"": false}"
GOLD,2026-07-07,tsmom,STAY FLAT,FLAT,4112.4,89.77,,46.4,DOWN,0.596,"{""lookback"": 60, ""trend_n"": 0, ""allow_short"": false}"
NVDA,2026-07-07,donchian_breakout,STAY FLAT,FLAT,196.93,6.9,,66.0,UP,0.83,"{""entry_n"": 10, ""exit_n"": 5, ""allow_short"": false}"
TSLA,2026-07-07,ma_cross,STAY FLAT,FLAT,402.9,20.15,,38.2,DOWN,0.702,"{""fast"": 10, ""slow"": 20, ""use_ema"": false, ""allow_short"": false}"
GOLD,2026-07-08,tsmom,STAY FLAT,FLAT,4083.6,88.53,,22.4,DOWN,0.596,"{""lookback"": 60, ""trend_n"": 0, ""allow_short"": false}"
NVDA,2026-07-08,donchian_breakout,BUY (open long),LONG,204.12,7.12,189.87,93.8,UP,0.83,"{""entry_n"": 10, ""exit_n"": 5, ""allow_short"": false}"
TSLA,2026-07-08,ma_cross,BUY (open long),LONG,394.06,19.6,354.87,26.5,DOWN,0.702,"{""fast"": 10, ""slow"": 20, ""use_ema"": false, ""allow_short"": false}"
GOLD,2026-07-09,tsmom,STAY FLAT,FLAT,4132.1,88.78,,63.8,DOWN,0.596,"{""lookback"": 60, ""trend_n"": 0, ""allow_short"": false}"
NVDA,2026-07-09,donchian_breakout,HOLD LONG,LONG,202.78,7.02,188.74,71.9,UP,0.83,"{""entry_n"": 10, ""exit_n"": 5, ""allow_short"": false}"
TSLA,2026-07-09,ma_cross,HOLD LONG,LONG,406.55,19.41,367.73,60.5,DOWN,0.702,"{""fast"": 10, ""slow"": 20, ""use_ema"": false, ""allow_short"": false}"
GOLD,2026-07-10,tsmom,STAY FLAT,FLAT,4128.9,86.97,,61.4,DOWN,0.596,"{""lookback"": 60, ""trend_n"": 0, ""allow_short"": false}"
NVDA,2026-07-10,donchian_breakout,HOLD LONG,LONG,210.96,7.17,196.63,92.7,UP,0.83,"{""entry_n"": 10, ""exit_n"": 5, ""allow_short"": false}"
TSLA,2026-07-10,ma_cross,HOLD LONG,LONG,407.76,18.76,370.23,63.8,DOWN,0.702,"{""fast"": 10, ""slow"": 20, ""use_ema"": false, ""allow_short"": false}"
GOLD,2026-07-13,tsmom,STAY FLAT,FLAT,4012.4,86.26,,13.1,DOWN,0.596,"{""lookback"": 60, ""trend_n"": 0, ""allow_short"": false}"
NVDA,2026-07-13,donchian_breakout,HOLD LONG,LONG,203.53,7.2,189.13,39.5,UP,0.83,"{""entry_n"": 10, ""exit_n"": 5, ""allow_short"": false}"
TSLA,2026-07-13,ma_cross,HOLD LONG,LONG,394.76,18.59,357.57,23.0,DOWN,0.702,"{""fast"": 10, ""slow"": 20, ""use_ema"": false, ""allow_short"": false}"
GOLD,2026-07-14,tsmom,STAY FLAT,FLAT,4058.0,85.92,,51.7,DOWN,0.596,"{""lookback"": 60, ""trend_n"": 0, ""allow_short"": false}"
NVDA,2026-07-14,donchian_breakout,HOLD LONG,LONG,211.8,7.35,197.1,73.4,UP,0.83,"{""entry_n"": 10, ""exit_n"": 5, ""allow_short"": false}"
TSLA,2026-07-14,ma_cross,HOLD LONG,LONG,396.18,17.8,360.58,32.5,DOWN,0.702,"{""fast"": 10, ""slow"": 20, ""use_ema"": false, ""allow_short"": false}"
GOLD,2026-07-15,tsmom,STAY FLAT,FLAT,4069.6,83.32,,57.9,DOWN,0.596,"{""lookback"": 60, ""trend_n"": 0, ""allow_short"": false}"
NVDA,2026-07-15,donchian_breakout,HOLD LONG,LONG,212.5,7.38,197.74,75.7,UP,0.83,"{""entry_n"": 10, ""exit_n"": 5, ""allow_short"": false}"
TSLA,2026-07-15,ma_cross,HOLD LONG,LONG,394.46,17.66,359.13,25.0,DOWN,0.702,"{""fast"": 10, ""slow"": 20, ""use_ema"": false, ""allow_short"": false}"
GOLD,2026-07-16,tsmom,STAY FLAT,FLAT,3979.4,84.66,,16.9,DOWN,0.596,"{""lookback"": 60, ""trend_n"": 0, ""allow_short"": false}"
NVDA,2026-07-16,donchian_breakout,HOLD LONG,LONG,207.4,7.33,192.74,33.5,UP,0.83,"{""entry_n"": 10, ""exit_n"": 5, ""allow_short"": false}"
TSLA,2026-07-16,ma_cross,HOLD LONG,LONG,391.06,17.12,356.83,13.1,DOWN,0.702,"{""fast"": 10, ""slow"": 20, ""use_ema"": false, ""allow_short"": false}"
GOLD,2026-07-17,tsmom,STAY FLAT,FLAT,4023.0,83.74,,52.8,DOWN,0.596,"{""lookback"": 60, ""trend_n"": 0, ""allow_short"": false}"
NVDA,2026-07-17,donchian_breakout,HOLD LONG,LONG,202.81,7.48,187.85,16.7,UP,0.83,"{""entry_n"": 10, ""exit_n"": 5, ""allow_short"": false}"
TSLA,2026-07-17,ma_cross,HOLD LONG,LONG,380.84,16.88,347.08,3.4,DOWN,0.702,"{""fast"": 10, ""slow"": 20, ""use_ema"": false, ""allow_short"": false}"
GOLD,2026-07-20,tsmom,STAY FLAT,FLAT,4010.0,77.36,,43.5,DOWN,0.596,"{""lookback"": 60, ""trend_n"": 0, ""allow_short"": false}"
NVDA,2026-07-20,donchian_breakout,HOLD LONG,LONG,203.28,7.33,188.61,24.4,UP,0.83,"{""entry_n"": 10, ""exit_n"": 5, ""allow_short"": false}"
TSLA,2026-07-20,ma_cross,SELL (close long),FLAT,369.57,16.9,,1.3,DOWN,0.702,"{""fast"": 10, ""slow"": 20, ""use_ema"": false, ""allow_short"": false}"
GOLD,2026-07-21,tsmom,STAY FLAT,FLAT,4084.4,77.88,,87.8,DOWN,0.596,"{""lookback"": 60, ""trend_n"": 0, ""allow_short"": false}"
